2026-09-22 19:32:29.954 INFO  [main] c.e.l.LoggingDemoApplication - Starting LoggingDemoApplication using Java 17.0.19 with PID 37520 (C:\Users\a\.gemini\antigravity\scratch\spring-boot-logging-demo\build\classes\java\main started by a in C:\Users\a\.gemini\antigravity\scratch\spring-boot-logging-demo)
2026-09-22 19:32:29.956 INFO  [main] c.e.l.LoggingDemoApplication - No active profile set, falling back to 1 default profile: "default"
2026-09-22 19:32:30.672 INFO  [main] o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2026-09-22 19:32:30.681 INFO  [main] o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2026-09-22 19:32:30.702 INFO  [main] o.a.catalina.core.StandardService - Starting service [Tomcat]
2026-09-22 19:32:30.702 INFO  [main] o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.36]
2026-09-22 19:32:30.756 INFO  [main] o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2026-09-22 19:32:30.756 INFO  [main] o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 766 ms
2026-09-22 19:32:31.052 INFO  [main] o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2026-09-22 19:32:31.079 INFO  [main] o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
2026-09-22 19:32:31.090 INFO  [main] c.e.l.LoggingDemoApplication - Started LoggingDemoApplication in 1.474 seconds (process running for 2.248)
2026-09-22 19:32:46.974 INFO  [http-nio-8080-exec-2] o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2026-09-22 19:32:46.974 INFO  [http-nio-8080-exec-2] o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2026-09-22 19:32:46.975 INFO  [http-nio-8080-exec-2] o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2026-09-22 19:32:47.005 INFO  [http-nio-8080-exec-2] c.e.loggingdemo.service.OrderService - Tạo hóa đơn cho đơn hàng có OrderId là : c7e7380b-6809-425c-84bf-eca64919400b
2026-09-22 19:32:47.529 INFO  [http-nio-8080-exec-3] c.e.loggingdemo.service.OrderService - Tạo hóa đơn cho đơn hàng có OrderId là : 33f20eee-3d0f-452e-94cd-1d4e1540d1e1
2026-09-22 19:39:03.518 INFO  [SpringApplicationShutdownHook] o.s.b.w.e.tomcat.GracefulShutdown - Commencing graceful shutdown. Waiting for active requests to complete
2026-09-22 19:39:04.197 INFO  [tomcat-shutdown] o.s.b.w.e.tomcat.GracefulShutdown - Graceful shutdown complete
