2026-09-22 18:54:24.285 INFO  [main] c.e.l.LoggingDemoApplication - Starting LoggingDemoApplication using Java 17.0.19 with PID 17568 (C:\Users\a\.gemini\antigravity\scratch\spring-boot-logging-demo\build\classes\java\main started by a in C:\Users\a\.gemini\antigravity\scratch\spring-boot-logging-demo)
2026-09-22 18:54:24.286 INFO  [main] c.e.l.LoggingDemoApplication - No active profile set, falling back to 1 default profile: "default"
2026-09-22 18:54:24.992 INFO  [main] o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2026-09-22 18:54:25.002 INFO  [main] o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2026-09-22 18:54:25.003 INFO  [main] o.a.catalina.core.StandardService - Starting service [Tomcat]
2026-09-22 18:54:25.025 INFO  [main] o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.36]
2026-09-22 18:54:25.073 INFO  [main] o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2026-09-22 18:54:25.073 INFO  [main] o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 751 ms
2026-09-22 18:54:25.398 INFO  [main] o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2026-09-22 18:54:25.421 INFO  [main] o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
2026-09-22 18:54:25.429 INFO  [main] c.e.l.LoggingDemoApplication - Started LoggingDemoApplication in 1.608 seconds (process running for 2.078)
2026-09-22 18:54:30.906 INFO  [http-nio-8080-exec-1] o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2026-09-22 18:54:30.907 INFO  [http-nio-8080-exec-1] o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2026-09-22 18:54:30.908 INFO  [http-nio-8080-exec-1] o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2026-09-22 18:54:30.944 INFO  [http-nio-8080-exec-1] c.e.loggingdemo.service.OrderService - Tạo hóa đơn cho đơn hàng có OrderId là : 928f8322-4d90-41fc-b393-4281cfa14ead
2026-09-22 18:54:32.027 INFO  [http-nio-8080-exec-3] c.e.loggingdemo.service.OrderService - Tạo hóa đơn cho đơn hàng có OrderId là : d340e95e-87a9-454d-a329-6e09e2dc3eac
2026-09-22 18:54:33.136 INFO  [http-nio-8080-exec-7] c.e.loggingdemo.service.OrderService - Tạo hóa đơn cho đơn hàng có OrderId là : df4fad6f-5596-4a9a-a2f4-41894768001d
2026-09-22 18:54:34.523 INFO  [http-nio-8080-exec-8] c.e.loggingdemo.service.OrderService - Tạo hóa đơn cho đơn hàng có OrderId là : 04dceb3f-548a-4095-b5b3-77145fd379fb
